# 호스트네임,설정그룹  
rtpheespha01m,EES-PHOTO  
rtpheespha02m,EES-PHOTO  
rtpheespha03m,EES-PHOTO
rtpheespha04m,EES-PHOTO
rtpheespha05m,EES-PHOTO
rtpheespha06m,EES-PHOTO
rtpgmeespha03m,EES-PHOTO
rtpgmeespha04m,EES-PHOTO
rtpgmeespha05m,EES-PHOTO
rtpgmeespha06m,EES-PHOTO
rtpgfeespha01m,EES-PHOTO
rtpgfeespha02m,EES-PHOTO
rtpgfeespha03m,EES-PHOTO
rtpgfeespha04m,EES-PHOTO
rtpgtcapa01m,TC  
rtpgtcapa02m,TC
rtpgtcapa03m,TC
rtpgtcapa04m,TC
rtpgtcapa05m,TC
rtpgtcapa06m,TC
rtpgtcmpa01m,TC
rtpgtcmpa02m,TC
rtpgtcmpa03m,TC
rtpgtcmpa04m,TC
rtpgtcdpa01m,TC
rtpgtcdpa02m,TC
rtpgtcdpa03m,TC
dvpgmosa03m,MOS  
dvpgmosa02m,MOS  
dvpgmosa01m,MOS  
rtpgarga01m,AR_FPA
rtpgfpaa01m,AR_FPA
rtpgfpaa02m,AR_FPA
dvpgrmsa01m,RMS
dvpgrmsa02m,RMS
